time,pos_FR_hip_joint,pos_FR_thigh_joint,pos_FR_calf_joint,pos_FL_hip_joint,pos_FL_thigh_joint,pos_FL_calf_joint,pos_RR_hip_joint,pos_RR_thigh_joint,pos_RR_calf_joint,pos_RL_hip_joint,pos_RL_thigh_joint,pos_RL_calf_joint,vel_FR_hip_joint,vel_FR_thigh_joint,vel_FR_calf_joint,vel_FL_hip_joint,vel_FL_thigh_joint,vel_FL_calf_joint,vel_RR_hip_joint,vel_RR_thigh_joint,vel_RR_calf_joint,vel_RL_hip_joint,vel_RL_thigh_joint,vel_RL_calf_joint,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_linvel_x,base_linvel_y,base_linvel_z,base_angvel_x,base_angvel_y,base_angvel_z,action_FR_hip_joint,action_FR_thigh_joint,action_FR_calf_joint,action_FL_hip_joint,action_FL_thigh_joint,action_FL_calf_joint,action_RR_hip_joint,action_RR_thigh_joint,action_RR_calf_joint,action_RL_hip_joint,action_RL_thigh_joint,action_RL_calf_joint
0.0,-0.006773050942522045,0.8507183197699014,-1.9909308134704868,0.07192630751358493,0.9345875610398195,-1.8617887199555503,-0.06475398897897322,0.8601351547904131,-2.007801481434825,0.019302212572566483,0.8603295683727507,-2.0463821737251764,-0.14654538825940083,-3.6073794209605947,5.02850912793683,-0.4241014898890261,1.2135271213457477,0.19691604956026895,-0.5339565470394986,1.2344003844186306,0.21395640459636445,0.592774250117712,-3.0250826287180934,0.8060467122937219,0.03402632379402922,-0.01822311479901497,0.25371171617453236,0.9987549582924932,-0.0076793120346273945,-0.04697315606336666,-0.014935998871234493,0.2756660795780765,0.1084320230649167,0.08013330137348855,0.002824021248715674,-0.17736858958161492,-0.0519923530349905,0.0,0.6872131662057366,-1.7406479669364412,0.0,1.0534348007307048,-1.7406479669364412,0.0,1.0534348007307048,-1.7406479669364412,0.0,0.6872131662057366,-1.7406479669364412
0.008,-0.007508162994655484,0.8248350622787433,-1.9538113873884928,0.06685558875381437,0.9459821914690811,-1.862056250291795,-0.06942863372438987,0.870764976055013,-2.0060656090711473,0.024580658883253184,0.8374715575562817,-2.039884614237612,-0.06313032733851931,-3.028591241185981,4.387203395100467,-0.7086085168680634,1.4595282628057293,-0.09970741665100061,-0.5993994914193426,1.3469033563387607,0.24888385101467894,0.6600870519342527,-2.770059656637928,0.9101915028167503,0.03627683816795441,-0.017452173588233047,0.2545634544114949,0.9987683523805955,-0.006809092371125116,-0.04691991013369398,-0.014626570926845649,0.2844937139710116,0.08892117508605261,0.12210303196377399,0.33387243145206413,0.1314162197554671,0.13307232303996433,0.0,0.6873628399235737,-1.737299779648872,0.0,1.0882258776506586,-1.7641248684821957,0.0,1.0882258776506586,-1.7641248684821957,0.0,0.6873628399235737,-1.737299779648872
0.016,-0.0077932580583306935,0.8034674803027252,-1.921747710425331,0.060172763694671505,0.9635728110951456,-1.8654871044354164,-0.07297870401391247,0.8873694187091837,-2.007787342079153,0.029627850459655637,0.8168663266623944,-2.0306544982447505,-0.021765441866971196,-2.49638861674755,3.7750412752731646,-0.8635517736518071,2.4822556006509298,-0.04826406194193923,-0.375548746401278,2.2416809483624025,-0.2818884127506592,0.5926286794808459,-2.4862617836315724,1.3375747376300962,0.03863244695302237,-0.0168343527053223,0.25563560098825405,0.9988482166139991,-0.005057659330770071,-0.04575388799269366,-0.013536690240947297,0.29912048741849007,0.07114475620204619,0.14073626314405335,0.48368799259809564,0.41544612470592274,0.31821353745219993,0.0,0.6907439360598128,-1.7348543344030838,0.0,1.1389978879445524,-1.822483936609547,0.0,1.1389978879445524,-1.822483936609547,0.0,0.6907439360598128,-1.7348543344030838
0.024,-0.00762336739253882,0.7862654955502916,-1.894273757904279,0.05229454536481643,0.9910879482130459,-1.8695496287120739,-0.07400983123557814,0.9122270941182412,-2.0143303148545977,0.033689730876784924,0.7982305187799653,-2.011013722838469,0.0622719946609429,-1.9817238496330762,3.2428676041744238,-0.9094494899927474,3.7042077929339188,-0.5147770942149762,-0.05463042236351992,3.3104929553797384,-0.8782835046888067,0.42603835754868785,-2.194781393944014,3.1584282550980065,0.04111773118999249,-0.016314864457543394,0.25668221449768447,0.9989773004483881,-0.0033160617188502353,-0.04351944639325915,-0.01180740060944551,0.3167299620904246,0.06367374691747041,0.1213035709907747,0.3789217121900991,0.6389532735696863,0.4516889777542361,0.0,0.6972680369895842,-1.7332890390440259,0.0,1.1911293856798042,-1.8892239032955636,0.0,1.1911293856798042,-1.8892239032955636,0.0,0.6972680369895842,-1.7332890390440259
0.032,-0.007750089532088705,0.7731364162176919,-1.8710115632969226,0.04469785888097761,1.0246828898229745,-1.8805914023982995,-0.0704614817417507,0.9479977172761583,-2.016384538150279,0.035712962878222274,0.7839707728343164,-1.9917208246082183,-0.07278778412806002,-1.4911587397271913,2.7172370561957657,-0.8938825366154749,4.215642416783819,-1.4594720489431126,0.6086722750031505,4.814871677758621,-0.07925986970257115,0.14683604051182164,-1.6547230936912831,2.1243659117485993,0.04370246374785801,-0.01585806608765465,0.2574572505381071,0.9991335821898644,-0.0016204339239449873,-0.04046952901635993,-0.009574777049192223,0.32377426519799013,0.05231940244877199,0.0827072881441531,0.5166618948142853,0.8588843432500826,0.5865035953514836,0.0,0.7067878818511715,-1.7325320661252215,0.0,1.2360777886568486,-1.9516233630499824,0.0,1.2360777886568486,-1.9516233630499824,0.0,0.7067878818511715,-1.7325320661252215
0.04,-0.008596085300873408,0.7637226917244541,-1.851524646411804,0.03799051042009876,1.0598440091809587,-1.8978334822655816,-0.06468601334425537,0.9895642898701905,-2.020952195596454,0.035743633985667045,0.7720261256986395,-1.976823351263938,-0.1466106197580208,-1.038671706751919,2.284684459776228,-0.7600228643267021,4.305831373054629,-2.1865076770775236,0.8388466612158235,5.332754050679474,-0.15427102482822863,-0.09720232260358344,-1.4543712910123887,1.7737035042404796,0.046302033741035,-0.015505179673737369,0.25790621088785354,0.9993098273621858,0.0008342568317545438,-0.036492829134045134,-0.006888132888561566,0.324376848903193,0.03881698040016545,0.04059113388863856,0.7271962575730335,1.0902480310157912,0.6798427786332882,0.0,0.7191009647910991,-1.732469443387942,0.0,1.269261433800735,-2.005117032644598,0.0,1.269261433800735,-2.005117032644598,0.0,0.7191009647910991,-1.732469443387942
0.048,-0.013420570869145542,0.7608819988728566,-1.8475578539617277,0.03306305794185684,1.094150011899724,-1.919146404152681,-0.05671045268979206,1.032703632791522,-2.0256295487848535,0.035025819853086886,0.7615951412512331,-1.9640911670506873,-0.7923936174257593,-0.05441266141171067,-0.24461992620483067,-0.5063622341673529,4.150882529258133,-2.6393266607038637,1.0664576173284843,5.3013685099987145,-0.47179544069603047,-0.06363700285391503,-1.2257164520735886,1.500056723894446,0.048835560415166936,-0.01523416698965544,0.25807293437353157,0.9994760961070658,0.00346943719444087,-0.031926569389517594,-0.004023739945524371,0.3096570869834281,0.032112188975756684,0.013855233810184673,0.6150966176784177,1.1615433886172002,0.6894165608133151,0.0,0.733954286714309,-1.732954621389867,0.0,1.288741722733368,-2.0492752385616493,0.0,1.2887417227333682,-2.0492752385616493,0.0,0.733954286714309,-1.732954621389867
0.056,-0.02041001207965023,0.76316002308351,-1.8541222074475308,0.029609276768709038,1.1256702131840401,-1.9426245725513342,-0.04814074495691448,1.0731095982374923,-2.0328310015774242,0.03513910174633361,0.753283799419998,-1.9535491603016275,-0.8781281044369067,0.41490779009290696,-1.0354356593193574,-0.3705107085470489,3.7413469305707983,-2.8759305187962183,1.0249649202625137,4.809479271717652,-0.9411381347631577,0.07028618442788546,-0.9477697748263656,1.2274763181258006,0.051203737411453024,-0.014979368845266624,0.25813292981576624,0.9996073656998902,0.005246397447081609,-0.02749515389707916,-0.001267384917330256,0.28693669149781187,0.03231038058577001,0.006475464205555416,0.36075096791759326,1.077708948906571,0.656723161247089,0.0,0.7510502979825857,-1.7338199103753074,0.0,1.2944431461832204,-2.0853751546910413,0.0,1.2944431461832204,-2.0853751546910413,0.0,0.7510502979825857,-1.7338199103753074
0.064,-0.026811308067570667,0.767632977248917,-1.8631915114670097,0.026926069592803914,1.1525269885904255,-1.9670118744394633,-0.04081706207079995,1.1077915398238405,-2.0432467328415336,0.03645066049375031,0.7471464722959309,-1.9450718721446558,-0.7445386918162078,0.6090663925799175,-1.137489533653299,-0.3081224034806147,3.112428206442434,-2.970865828936251,0.8350834362465717,4.039774734909916,-1.3330082830676688,0.2184418372318638,-0.6763773886589081,0.9747623233595317,0.05338650689531346,-0.014705998828560846,0.2581808282329976,0.9997037205112974,0.005975205318128795,-0.023560910955673465,0.001285142876901748,0.26438181087088714,0.03555204385793131,0.007139532691703719,0.10511588787484934,0.9326788341431843,0.6103737458611956,0.0,0.7700540337840966,-1.7348890608127834,0.0,1.287576622407899,-2.1151083567663704,0.0,1.287576622407899,-2.1151083567663704,0.0,0.7700540337840966,-1.7348890608127834
0.07200000000000001,-0.03190212779504831,0.773026592189131,-1.87161930805413,0.024589916486657253,1.1733838972799555,-1.9914755185282262,-0.03519672738426767,1.1354402145199518,-2.055999134071494,0.038776392939564815,0.7431346221756769,-1.9385186099059222,-0.5750666177238097,0.6957353439850151,-0.9801893297323744,-0.28407839428693205,2.3411847344851804,-2.9709969192804446,0.628074983701332,3.150505024512806,-1.6034326400790155,0.3298539014110218,-0.40993416750503614,0.7378798155138451,0.055406644256723876,-0.014400818624688286,0.2582479398592242,0.9997711646608821,0.005823053846664394,-0.020263748719791665,0.0036181271871900834,0.24581187687511516,0.03977124931475716,0.009819778212272466,-0.0931725039280443,0.7653790190840286,0.5615125077836425,0.0,0.7906013795662781,-1.7359901851773207,0.0,1.2701227809470117,-2.1400120971899588,0.0,1.2701227809470117,-2.1400120971899588,0.0,0.7906013795662781,-1.7359901851773207
