gen,best_reward,avg_reward,overall_best,dist_x,height,steps,terminated,time_sec
0,-3.807580,-3.955139,-3.807580,-0.032660,0.164897,4000,False,7.1
10,-2.008907,-2.672481,-2.008907,-0.012540,0.164821,4000,False,6.4
20,-0.452693,-3.307901,-0.215813,-0.030293,0.160371,4000,False,5.7
30,-0.265635,-2.559782,-0.215813,0.013580,0.145949,4000,False,5.7
40,-0.324801,-2.321405,-0.215813,-0.064359,0.158410,4000,False,5.8
50,-0.491567,-4.738125,-0.215813,-0.003092,0.162188,4000,False,5.5
60,-0.274191,-1.101505,-0.215813,-0.019126,0.156445,4000,False,6.2
70,-0.237683,-1.869531,-0.185479,-0.029320,0.169525,4000,False,5.9
80,-0.187850,-3.583043,-0.165694,0.045157,0.161860,4000,False,5.7
90,-0.195917,-0.541275,-0.128637,0.062412,0.167348,4000,False,6.3
100,-0.172077,-0.467121,-0.076711,0.114110,0.162440,4000,False,6.2
110,-0.140788,-1.358936,-0.076711,0.046423,0.171978,4000,False,5.9
120,-0.139458,-1.338877,-0.076711,0.061886,0.160997,4000,False,5.9
130,-0.112401,-2.274306,-0.058336,0.138754,0.167802,4000,False,6.1
140,-0.070954,-2.213766,-0.058336,0.167828,0.162394,4000,False,5.9
150,-0.068912,-2.667126,-0.042651,0.207957,0.163835,4000,False,5.0
160,-0.054286,-2.160699,-0.018522,0.232887,0.162393,4000,False,4.7
170,-0.048565,-5.136424,-0.018522,0.252759,0.162189,4000,False,4.8
180,-0.027692,-5.075641,0.013033,0.248026,0.163190,4000,False,4.4
190,-0.010568,-1.060796,0.013033,0.246206,0.163147,4000,False,4.9
200,0.016309,-2.030787,0.020389,0.298918,0.160739,4000,False,4.8
210,0.019264,-0.009797,0.025674,0.305411,0.162142,4000,False,5.3
220,0.029608,-0.991465,0.034953,0.313541,0.160623,4000,False,4.9
230,0.038983,0.019184,0.043108,0.314902,0.162262,4000,False,5.3
240,0.039802,0.028755,0.043834,0.323218,0.159763,4000,False,5.2
250,0.047419,0.033660,0.047419,0.311088,0.162734,4000,False,5.2
260,0.048055,0.040829,0.049303,0.323420,0.160961,4000,False,5.2
270,0.050286,0.042152,0.051536,0.318603,0.162695,4000,False,5.3
280,0.055499,0.045471,0.055499,0.324360,0.162147,4000,False,5.3
290,0.060639,0.048758,0.061405,0.333711,0.164088,4000,False,5.3
300,0.063487,-0.948642,0.065140,0.352583,0.162062,4000,False,5.0
310,0.064697,-0.949682,0.067108,0.358927,0.165393,4000,False,5.0
320,0.075082,-3.946174,0.075082,0.362107,0.167113,4000,False,4.7
330,0.078195,0.070098,0.078505,0.372476,0.161939,4000,False,5.2
340,0.080816,0.072635,0.080816,0.378392,0.165123,4000,False,5.3
350,0.085016,0.075669,0.085016,0.378422,0.165590,4000,False,5.2
360,0.086521,0.082974,0.087091,0.381221,0.164875,4000,False,5.3
370,0.089244,0.085355,0.089244,0.379405,0.163420,4000,False,5.3
380,0.091952,0.086288,0.091952,0.379671,0.165783,4000,False,5.9
390,0.092331,0.088628,0.092884,0.378597,0.163600,4000,False,6.6
400,0.095164,-2.914213,0.095164,0.389608,0.162617,4000,False,5.7
410,0.098352,0.093736,0.098681,0.374494,0.165779,4000,False,7.1
420,0.102424,0.095555,0.102424,0.392493,0.164682,4000,False,7.4
430,0.103607,-2.906412,0.104435,0.393932,0.162512,4000,False,6.3
440,0.104719,-1.901784,0.105799,0.402683,0.165407,4000,False,5.9
450,0.108371,-1.899145,0.108371,0.418444,0.162654,4000,False,6.1
460,0.109327,-1.896689,0.109542,0.417815,0.163268,4000,False,7.2
470,0.111465,0.109224,0.111465,0.421752,0.162383,4000,False,7.2
480,0.111622,-0.891749,0.112029,0.419816,0.163138,4000,False,6.8
490,0.112622,-4.900398,0.112947,0.430282,0.162726,4000,False,6.0
500,0.113414,-3.897006,0.113414,0.425623,0.163131,4000,False,6.4
510,0.114047,-2.893971,0.114933,0.434570,0.163345,4000,False,6.7
520,0.114791,-3.895743,0.114933,0.428754,0.163412,4000,False,6.2
530,0.115562,0.113995,0.115562,0.431355,0.163854,4000,False,6.4
540,0.116670,-2.891925,0.116670,0.430634,0.164453,4000,False,5.9
550,0.117041,-2.891648,0.117214,0.432181,0.163977,4000,False,5.9
560,0.118371,-9.907742,0.118371,0.440702,0.164564,4000,False,5.1
570,0.118630,-9.906840,0.118630,0.441535,0.164012,4000,False,5.4
580,0.119230,-1.886837,0.119230,0.442747,0.163486,4000,False,5.9
590,0.120334,-0.883538,0.120541,0.442456,0.162999,4000,False,6.2
600,0.121405,-2.887926,0.121405,0.445870,0.162637,4000,False,6.0
610,0.121039,0.120120,0.121481,0.444717,0.163345,4000,False,6.4
620,0.121731,-3.888845,0.122170,0.444361,0.163030,4000,False,6.1
630,0.122127,-1.883520,0.122241,0.445674,0.163189,4000,False,6.1
640,0.122352,-0.881185,0.122549,0.445197,0.162829,4000,False,6.1
650,0.122558,-4.890463,0.122558,0.446960,0.162737,4000,False,5.5
660,0.122749,-0.880773,0.122825,0.447999,0.162537,4000,False,6.0
670,0.122744,-2.885380,0.122825,0.446031,0.162520,4000,False,5.9
680,0.123074,-0.880160,0.123074,0.447670,0.162903,4000,False,6.0
690,0.123166,-2.884760,0.123275,0.447094,0.162609,4000,False,5.9
700,0.123207,-3.887082,0.123415,0.447885,0.162917,4000,False,5.8
710,0.123569,0.122850,0.123725,0.448979,0.162734,4000,False,6.3
720,0.123614,-2.884429,0.123725,0.449120,0.162480,4000,False,5.9
730,0.123706,0.123236,0.123725,0.448626,0.162681,4000,False,6.3
740,0.123781,0.123378,0.123825,0.449062,0.162720,4000,False,6.4
750,0.123827,0.123511,0.124059,0.449222,0.162703,4000,False,6.3
760,0.123972,0.123517,0.124059,0.449336,0.162785,4000,False,6.4
770,0.123928,-2.883772,0.124059,0.448761,0.162708,4000,False,5.6
780,0.124045,0.123658,0.124059,0.449375,0.162705,4000,False,6.4
790,0.124036,-1.881242,0.124059,0.449288,0.162742,4000,False,5.9
800,0.124023,-0.878677,0.124082,0.449297,0.162768,4000,False,6.0
